Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle= 11 | newX= 1069.0978 | newY=   52.1661
particle= 12 | newX= 1172.7596 | newY=  145.6782
particle= 13 | newX= 1203.2175 | newY=  230.1823
particle= 14 | newX= 1205.6237 | newY=  299.9924
particle= 15 | newX= 1191.0360 | newY=  359.1949
STEP  18 | DAY  380
particle=  0 | newX= 1166.0860 | newY=  420.2890
particle=  1 | newX= 1127.0908 | newY=  458.4258
particle=  2 | newX= 1080.4769 | newY=  483.4502
particle=  3 | newX= 1029.7936 | newY=  493.9208
particle=  4 | newX=  978.8760 | newY=  489.1967
particle=  5 | newX=  931.3727 | newY=  469.4935
particle=  6 | newX=  890.3028 | newY=  435.4669
particle=  7 | newX=  857.8183 | newY=  387.2767
particle=  8 | newX=  836.0179 | newY=  322.7174
particle=  9 | newX=  831.1948 | newY=  233.4069
particle= 10 | newX=  880.7875 | newY=  102.8741
particle= 11 | newX= 1075.4009 | newY=   53.6898
particle= 12 | newX= 1179.9041 | newY=  154.2306
particle= 13 | newX= 1208.7274 | newY=  240.7162
particle= 14 | newX= 1209.9832 | newY=  311.2602
particle= 15 | newX= 1194.5580 | newY=  370.8335
STEP  19 | DAY  400
particle=  0 | newX= 1168.8356 | newY=  432.0862
particle=  1 | newX= 1129.3185 | newY=  470.3792
particle=  2 | newX= 1082.2467 | newY=  495.5359
particle=  3 | newX= 1031.1457 | newY=  506.1279
particle=  4 | newX=  979.8308 | newY=  501.5209
particle=  5 | newX=  931.9267 | newY=  481.9312
particle=  6 | newX=  890.4138 | newY=  448.0053
particle=  7 | newX=  857.3632 | newY=  399.8674
particle=  8 | newX=  834.6771 | newY=  335.1795
particle=  9 | newX=  828.1105 | newY=  244.9320
particle= 10 | newX=  875.0812 | newY=  108.5652
particle= 11 | newX= 1081.9240 | newY=   55.6116
particle= 12 | newX= 1186.8012 | newY=  163.0773
particle= 13 | newX= 1213.9918 | newY=  251.3341
particle= 14 | newX= 1214.1480 | newY=  322.5224
particle= 15 | newX= 1197.9306 | newY=  382.4226
STEP  20 | DAY  420
particle=  0 | newX= 1171.4824 | newY=  443.8139
particle=  1 | newX= 1131.4726 | newY=  482.2503
particle=  2 | newX= 1083.9690 | newY=  507.5314
particle=  3 | newX= 1032.4750 | newY=  518.2406
particle=  4 | newX=  980.7877 | newY=  513.7494
particle=  5 | newX=  932.5105 | newY=  494.2753
particle=  6 | newX=  890.5891 | newY=  460.4579
particle=  7 | newX=  857.0211 | newY=  412.3925
particle=  8 | newX=  833.5265 | newY=  347.6296
particle=  9 | newX=  825.3290 | newY=  256.6096
particle= 10 | newX=  869.4365 | newY=  114.7649
particle= 11 | newX= 1088.6476 | newY=   57.9451
particle= 12 | newX= 1193.4524 | newY=  172.1842
