Tracking contamination for  16 particles and  92 time steps. Reverse tracking: Disabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle= 14 | newX=  433.8457 | newY=  147.4172
particle= 15 | newX=  426.4848 | newY=  204.9890
STEP   9 | DAY  200
particle=  0 | newX=  405.1775 | newY=  265.2052
particle=  1 | newX=  370.2711 | newY=  299.8084
particle=  2 | newX=  328.2024 | newY=  320.5208
particle=  3 | newX=  282.6032 | newY=  326.4485
particle=  4 | newX=  237.4660 | newY=  317.3827
particle=  5 | newX=  196.8919 | newY=  294.0949
particle=  6 | newX=  164.7289 | newY=  258.2904
particle=  7 | newX=  144.3038 | newY=  212.3090
particle=  8 | newX=  138.7666 | newY=  158.6069
particle=  9 | newX=  152.3944 | newY=   99.6823
particle= 10 | newX=  193.4843 | newY=   40.6297
particle= 11 | newX=  273.2071 | newY=    1.5200
particle= 12 | newX=  368.8616 | newY=   22.4866
particle= 13 | newX=  424.3211 | newY=   89.0819
particle= 14 | newX=  438.8702 | newY=  158.4742
particle= 15 | newX=  429.5305 | newY=  217.8070
STEP  10 | DAY  220
particle=  0 | newX=  406.3344 | newY=  278.6110
particle=  1 | newX=  370.3365 | newY=  313.4106
particle=  2 | newX=  327.3487 | newY=  334.1284
particle=  3 | newX=  280.8997 | newY=  339.9495
particle=  4 | newX=  234.9152 | newY=  330.6876
particle=  5 | newX=  193.4464 | newY=  307.1021
particle=  6 | newX=  160.2967 | newY=  270.8533
particle=  7 | newX=  138.7480 | newY=  224.1791
particle=  8 | newX=  131.9193 | newY=  169.3126
particle=  9 | newX=  144.1949 | newY=  108.2353
particle= 10 | newX=  184.8414 | newY=   44.9818
particle= 11 | newX=  269.1921 | newY=    0.1310
particle= 12 | newX=  373.8978 | newY=   23.3731
particle= 13 | newX=  430.7816 | newY=   96.8115
particle= 14 | newX=  443.3408 | newY=  169.7981
particle= 15 | newX=  432.1054 | newY=  230.6220
STEP  11 | DAY  240
particle=  0 | newX=  407.2131 | newY=  291.8736
particle=  1 | newX=  370.2387 | newY=  326.8079
particle=  2 | newX=  326.4299 | newY=  347.5045
particle=  3 | newX=  279.2191 | newY=  353.2146
particle=  4 | newX=  232.4701 | newY=  343.7701
particle=  5 | newX=  190.1886 | newY=  319.9196
particle=  6 | newX=  156.1354 | newY=  283.2840
particle=  7 | newX=  133.5445 | newY=  236.0133
particle=  8 | newX=  125.4877 | newY=  180.1416
particle=  9 | newX=  136.3918 | newY=  117.1655
particle= 10 | newX=  176.3055 | newY=   49.9779
particle= 11 | newX=  264.9290 | newY=   -0.9362
particle= 12 | newX=  379.0405 | newY=   24.7196
particle= 13 | newX=  436.8667 | newY=  105.0915
particle= 14 | newX=  447.3063 | newY=  181.3359
particle= 15 | newX=  434.2727 | newY=  243.4179
STEP  12 | DAY  260
particle=  0 | newX=  407.8564 | newY=  305.0036
particle=  1 | newX=  370.0056 | newY=  340.0233
particle=  2 | newX=  325.4600 | newY=  360.6778
particle=  3 | newX=  277.5616 | newY=  366.2740
particle=  4 | newX=  230.1184 | newY=  356.6582
particle=  5 | newX=  187.0945 | newY=  332.5692
particle=  6 | newX=  152.2101 | newY=  295.5941
particle=  7 | newX=  128.6506 | newY=  247.8060
particle=  8 | newX=  119.4293 | newY=  191.0634
particle=  9 | newX=  128.9644 | newY=  126.4144
particle= 10 | newX=  167.9058 | newY=   55.5703
particle= 11 | newX=  260.4150 | newY=   -1.6895
particle= 12 | newX=  384.2863 | newY=   26.5214
particle= 13 | newX=  442.5717 | newY=  113.8663
particle= 14 | newX=  450.8117 | newY=  193.0439
particle= 15 | newX=  436.0858 | newY=  256.1831
STEP  13 | DAY  280
particle=  0 | newX=  408.2994 | newY=  318.0104
particle=  1 | newX=  369.6601 | newY=  353.0758
particle=  2 | newX=  324.4497 | newY=  373.6718
particle=  3 | newX=  275.9274 | newY=  379.1521
particle=  4 | newX=  227.8503 | newY=  369.3746
particle=  5 | newX=  184.1445 | newY=  345.0692
particle=  6 | newX=  148.4923 | newY=  307.7935
particle=  7 | newX=  124.0308 | newY=  259.5541
particle=  8 | newX=  113.7073 | newY=  202.0543
particle=  9 | newX=  121.8918 | newY=  135.9319
particle= 10 | newX=  159.6682 | newY=   61.7122
particle= 11 | newX=  255.6484 | newY=   -2.1313
particle= 12 | newX=  389.6284 | newY=   28.7776
particle= 13 | newX=  447.8952 | newY=  123.0838
particle= 14 | newX=  453.8984 | newY=  204.8861
particle= 15 | newX=  437.5901 | newY=  268.9092
STEP  14 | DAY  300
particle=  0 | newX=  408.5713 | newY=  330.9027
particle=  1 | newX=  369.2205 | newY=  365.9815
particle=  2 | newX=  323.4079 | newY=  386.5060
particle=  3 | newX=  274.3165 | newY=  391.8690
particle=  4 | newX=  225.6576 | newY=  381.9380
particle=  5 | newX=  181.3227 | newY=  357.4346
particle=  6 | newX=  144.9586 | newY=  319.8910
particle=  7 | newX=  119.6551 | newY=  271.2555
particle=  8 | newX=  108.2895 | newY=  213.0951
