Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  7 | newX= 1200.5468 | newY=  838.2157
particle=  8 | newX= 1205.4496 | newY=  838.3291
particle=  9 | newX= 1210.3539 | newY=  838.4431
STEP  15 | DAY  320
particle=  0 | newX= 1165.2303 | newY=  826.7984
particle=  1 | newX= 1170.1160 | newY=  826.9150
particle=  2 | newX= 1175.0030 | newY=  827.0325
particle=  3 | newX= 1179.8914 | newY=  827.1509
particle=  4 | newX= 1184.7812 | newY=  827.2701
particle=  5 | newX=  801.1640 | newY=  821.7910
particle=  6 | newX= 1194.5652 | newY=  827.5112
particle=  7 | newX= 1199.4593 | newY=  827.6330
particle=  8 | newX= 1204.3549 | newY=  827.7555
particle=  9 | newX= 1209.2519 | newY=  827.8787
STEP  16 | DAY  340
particle=  0 | newX= 1164.1804 | newY=  816.1332
particle=  1 | newX= 1169.0577 | newY=  816.2587
particle=  2 | newX= 1173.9366 | newY=  816.3852
particle=  3 | newX= 1178.8170 | newY=  816.5127
particle=  4 | newX= 1183.6989 | newY=  816.6411
particle=  5 | newX=  800.9124 | newY=  810.7754
particle=  6 | newX= 1193.4674 | newY=  816.9006
particle=  7 | newX= 1198.3540 | newY=  817.0317
particle=  8 | newX= 1203.2422 | newY=  817.1636
particle=  9 | newX= 1208.1319 | newY=  817.2963
STEP  17 | DAY  360
particle=  0 | newX= 1163.1131 | newY=  805.4474
particle=  1 | newX= 1167.9820 | newY=  805.5820
particle=  2 | newX= 1172.8526 | newY=  805.7177
particle=  3 | newX= 1177.7248 | newY=  805.8545
particle=  4 | newX= 1182.5987 | newY=  805.9923
particle=  5 | newX=  800.6602 | newY=  799.7350
particle=  6 | newX= 1192.3514 | newY=  806.2708
particle=  7 | newX= 1197.2303 | newY=  806.4115
particle=  8 | newX= 1202.1109 | newY=  806.5530
particle=  9 | newX= 1206.9932 | newY=  806.6954
STEP  18 | DAY  380
particle=  0 | newX= 1162.0280 | newY=  794.7402
particle=  1 | newX= 1166.8884 | newY=  794.8842
particle=  2 | newX= 1171.7504 | newY=  795.0294
particle=  3 | newX= 1176.6143 | newY=  795.1757
particle=  4 | newX= 1181.4800 | newY=  795.3232
particle=  5 | newX=  800.4078 | newY=  788.6695
particle=  6 | newX= 1191.2166 | newY=  795.6212
particle=  7 | newX= 1196.0877 | newY=  795.7717
particle=  8 | newX= 1200.9606 | newY=  795.9232
particle=  9 | newX= 1205.8354 | newY=  796.0756
STEP  19 | DAY  400
particle=  0 | newX= 1160.9246 | newY=  784.0110
particle=  1 | newX= 1165.7762 | newY=  784.1648
particle=  2 | newX= 1170.6296 | newY=  784.3197
particle=  3 | newX= 1175.4850 | newY=  784.4759
particle=  4 | newX= 1180.3422 | newY=  784.6332
particle=  5 | newX=  800.1554 | newY=  777.5783
particle=  6 | newX= 1190.0626 | newY=  784.9513
particle=  7 | newX= 1194.9257 | newY=  785.1120
particle=  8 | newX= 1199.7908 | newY=  785.2737
particle=  9 | newX= 1204.6579 | newY=  785.4363
STEP  20 | DAY  420
particle=  0 | newX= 1159.8024 | newY=  773.2594
particle=  1 | newX= 1164.6449 | newY=  773.4230
particle=  2 | newX= 1169.4896 | newY=  773.5880
particle=  3 | newX= 1174.3362 | newY=  773.7543
particle=  4 | newX= 1179.1849 | newY=  773.9219
particle=  5 | newX=  799.9033 | newY=  766.4610
particle=  6 | newX= 1188.8886 | newY=  774.2606
particle=  7 | newX= 1193.7436 | newY=  774.4317
particle=  8 | newX= 1198.6008 | newY=  774.6039
particle=  9 | newX= 1203.4600 | newY=  774.7771
STEP  21 | DAY  440
particle=  0 | newX= 1158.6607 | newY=  762.4845
particle=  1 | newX= 1163.4941 | newY=  762.6584
particle=  2 | newX= 1168.3297 | newY=  762.8337
particle=  3 | newX= 1173.1675 | newY=  763.0104
particle=  4 | newX= 1178.0075 | newY=  763.1885
particle=  5 | newX=  799.6518 | newY=  755.3172
particle=  6 | newX= 1187.6942 | newY=  763.5484
particle=  7 | newX= 1192.5409 | newY=  763.7303
particle=  8 | newX= 1197.3899 | newY=  763.9133
particle=  9 | newX= 1202.2412 | newY=  764.0974
STEP  22 | DAY  460
particle=  0 | newX= 1157.4990 | newY=  751.6856
particle=  1 | newX= 1162.3231 | newY=  751.8701
particle=  2 | newX= 1167.1495 | newY=  752.0560
particle=  3 | newX= 1171.9782 | newY=  752.2435
particle=  4 | newX= 1176.8093 | newY=  752.4324
particle=  5 | newX=  799.4012 | newY=  744.1464
particle=  6 | newX= 1186.4786 | newY=  752.8142
particle=  7 | newX= 1191.3169 | newY=  753.0071
particle=  8 | newX= 1196.1577 | newY=  753.2013
particle=  9 | newX= 1201.0009 | newY=  753.3966
STEP  23 | DAY  480
particle=  0 | newX= 1156.3167 | newY=  740.8621
particle=  1 | newX= 1161.1312 | newY=  741.0574
particle=  2 | newX= 1165.9482 | newY=  741.2543
particle=  3 | newX= 1170.7676 | newY=  741.4528
particle=  4 | newX= 1175.5896 | newY=  741.6529
particle=  5 | newX=  799.1520 | newY=  732.9482
particle=  6 | newX= 1185.2413 | newY=  742.0573
particle=  7 | newX= 1190.0710 | newY=  742.2616
particle=  8 | newX= 1194.9033 | newY=  742.4672
particle=  9 | newX= 1199.7382 | newY=  742.6741
STEP  24 | DAY  500
particle=  0 | newX= 1155.1132 | newY=  730.0131
particle=  1 | newX= 1159.9179 | newY=  730.2196
particle=  2 | newX= 1164.7252 | newY=  730.4278
particle=  3 | newX= 1169.5352 | newY=  730.6377
particle=  4 | newX= 1174.3479 | newY=  730.8493
particle=  5 | newX=  798.9046 | newY=  721.7222
particle=  6 | newX= 1183.9815 | newY=  731.2770
particle=  7 | newX= 1188.8024 | newY=  731.4931
particle=  8 | newX= 1193.6261 | newY=  731.7105
particle=  9 | newX= 1198.4526 | newY=  731.9293
STEP  25 | DAY  520
particle=  0 | newX= 1153.8877 | newY=  719.1377
particle=  1 | newX= 1158.6823 | newY=  719.3558
particle=  2 | newX= 1163.4797 | newY=  719.5757
particle=  3 | newX= 1168.2801 | newY=  719.7974
particle=  4 | newX= 1173.0832 | newY=  720.0208
particle=  5 | newX=  798.6595 | newY=  710.4678
particle=  6 | newX= 1182.6984 | newY=  720.4725
