Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
particle=  5 | newX=  115.6461 | newY= 1042.1224
particle=  6 | newX=  120.5760 | newY= 1042.0524
particle=  7 | newX=  125.5052 | newY= 1041.9829
particle=  8 | newX=  130.4339 | newY= 1041.9137
particle=  9 | newX=  135.3619 | newY= 1041.8450
STEP  15 | DAY  320
particle=  0 | newX=   91.7962 | newY= 1032.2274
particle=  1 | newX=   96.7244 | newY= 1032.1502
particle=  2 | newX=  101.6519 | newY= 1032.0733
particle=  3 | newX=  106.5788 | newY= 1031.9968
particle=  4 | newX=  111.5049 | newY= 1031.9207
particle=  5 | newX=  116.4304 | newY= 1031.8450
particle=  6 | newX=  121.3552 | newY= 1031.7697
particle=  7 | newX=  126.2793 | newY= 1031.6948
particle=  8 | newX=  131.2028 | newY= 1031.6204
particle=  9 | newX=  136.1256 | newY= 1031.5463
STEP  16 | DAY  340
particle=  0 | newX=   92.6158 | newY= 1021.9661
particle=  1 | newX=   97.5391 | newY= 1021.8833
particle=  2 | newX=  102.4617 | newY= 1021.8008
particle=  3 | newX=  107.3835 | newY= 1021.7188
particle=  4 | newX=  112.3047 | newY= 1021.6372
particle=  5 | newX=  117.2250 | newY= 1021.5560
particle=  6 | newX=  122.1447 | newY= 1021.4752
particle=  7 | newX=  127.0636 | newY= 1021.3949
particle=  8 | newX=  131.9818 | newY= 1021.3151
particle=  9 | newX=  136.8993 | newY= 1021.2357
STEP  17 | DAY  360
particle=  0 | newX=   93.4462 | newY= 1011.6935
particle=  1 | newX=   98.3646 | newY= 1011.6050
particle=  2 | newX=  103.2822 | newY= 1011.5168
particle=  3 | newX=  108.1990 | newY= 1011.4292
particle=  4 | newX=  113.1150 | newY= 1011.3419
particle=  5 | newX=  118.0302 | newY= 1011.2551
particle=  6 | newX=  122.9446 | newY= 1011.1688
particle=  7 | newX=  127.8583 | newY= 1011.0830
particle=  8 | newX=  132.7712 | newY= 1010.9976
particle=  9 | newX=  137.6833 | newY= 1010.9128
STEP  18 | DAY  380
particle=  0 | newX=   94.2876 | newY= 1001.4094
particle=  1 | newX=   99.2010 | newY= 1001.3151
particle=  2 | newX=  104.1136 | newY= 1001.2212
particle=  3 | newX=  109.0252 | newY= 1001.1277
particle=  4 | newX=  113.9361 | newY= 1001.0347
particle=  5 | newX=  118.8461 | newY= 1000.9423
particle=  6 | newX=  123.7553 | newY= 1000.8503
particle=  7 | newX=  128.6636 | newY= 1000.7588
particle=  8 | newX=  133.5711 | newY= 1000.6678
particle=  9 | newX=  138.4778 | newY= 1000.5774
STEP  19 | DAY  400
particle=  0 | newX=   95.1403 | newY=  991.1137
particle=  1 | newX=  100.0487 | newY=  991.0134
particle=  2 | newX=  104.9561 | newY=  990.9136
particle=  3 | newX=  109.8626 | newY=  990.8143
particle=  4 | newX=  114.7682 | newY=  990.7155
particle=  5 | newX=  119.6729 | newY=  990.6172
particle=  6 | newX=  124.5768 | newY=  990.5194
particle=  7 | newX=  129.4797 | newY=  990.4222
particle=  8 | newX=  134.3818 | newY=  990.3255
particle=  9 | newX=  139.2830 | newY=  990.2294
STEP  20 | DAY  420
particle=  0 | newX=   96.0045 | newY=  980.8061
particle=  1 | newX=  100.9077 | newY=  980.6997
particle=  2 | newX=  105.8099 | newY=  980.5939
particle=  3 | newX=  110.7112 | newY=  980.4886
particle=  4 | newX=  115.6116 | newY=  980.3839
particle=  5 | newX=  120.5110 | newY=  980.2797
particle=  6 | newX=  125.4094 | newY=  980.1760
particle=  7 | newX=  130.3069 | newY=  980.0729
particle=  8 | newX=  135.2035 | newY=  979.9705
particle=  9 | newX=  140.0991 | newY=  979.8686
STEP  21 | DAY  440
particle=  0 | newX=   96.8803 | newY=  970.4864
particle=  1 | newX=  101.7784 | newY=  970.3739
particle=  2 | newX=  106.6754 | newY=  970.2619
particle=  3 | newX=  111.5714 | newY=  970.1505
particle=  4 | newX=  116.4664 | newY=  970.0397
particle=  5 | newX=  121.3603 | newY=  969.9295
particle=  6 | newX=  126.2533 | newY=  969.8198
particle=  7 | newX=  131.1453 | newY=  969.7108
particle=  8 | newX=  136.0363 | newY=  969.6024
particle=  9 | newX=  140.9263 | newY=  969.4946
STEP  22 | DAY  460
particle=  0 | newX=   97.7681 | newY=  960.1545
particle=  1 | newX=  102.6609 | newY=  960.0357
particle=  2 | newX=  107.5526 | newY=  959.9175
particle=  3 | newX=  112.4433 | newY=  959.7998
particle=  4 | newX=  117.3328 | newY=  959.6828
particle=  5 | newX=  122.2214 | newY=  959.5664
particle=  6 | newX=  127.1088 | newY=  959.4507
particle=  7 | newX=  131.9952 | newY=  959.3356
particle=  8 | newX=  136.8805 | newY=  959.2211
particle=  9 | newX=  141.7648 | newY=  959.1073
STEP  23 | DAY  480
particle=  0 | newX=   98.6681 | newY=  949.8100
particle=  1 | newX=  103.5556 | newY=  949.6848
particle=  2 | newX=  108.4419 | newY=  949.5602
particle=  3 | newX=  113.3272 | newY=  949.4363
particle=  4 | newX=  118.2112 | newY=  949.3130
particle=  5 | newX=  123.0942 | newY=  949.1903
particle=  6 | newX=  127.9760 | newY=  949.0683
particle=  7 | newX=  132.8568 | newY=  948.9470
particle=  8 | newX=  137.7364 | newY=  948.8264
particle=  9 | newX=  142.6149 | newY=  948.7064
STEP  24 | DAY  500
particle=  0 | newX=   99.5804 | newY=  939.4529
particle=  1 | newX=  104.4626 | newY=  939.3211
particle=  2 | newX=  109.3435 | newY=  939.1901
particle=  3 | newX=  114.2233 | newY=  939.0596
particle=  4 | newX=  119.1018 | newY=  938.9299
particle=  5 | newX=  123.9791 | newY=  938.8008
particle=  6 | newX=  128.8553 | newY=  938.6724
particle=  7 | newX=  133.7303 | newY=  938.5448
particle=  8 | newX=  138.6041 | newY=  938.4179
particle=  9 | newX=  143.4768 | newY=  938.2917
STEP  25 | DAY  520
particle=  0 | newX=  100.5055 | newY=  929.0828
particle=  1 | newX=  105.3823 | newY=  928.9444
particle=  2 | newX=  110.2577 | newY=  928.8067
particle=  3 | newX=  115.1319 | newY=  928.6696
particle=  4 | newX=  120.0048 | newY=  928.5333
particle=  5 | newX=  124.8764 | newY=  928.3977
particle=  6 | newX=  129.7468 | newY=  928.2629
particle=  7 | newX=  134.6160 | newY=  928.1288
particle=  8 | newX=  139.4839 | newY=  927.9955
particle=  9 | newX=  144.3506 | newY=  927.8630
STEP  26 | DAY  540
particle=  0 | newX=  101.4436 | newY=  918.6995
particle=  1 | newX=  106.3148 | newY=  918.5543
particle=  2 | newX=  111.1847 | newY=  918.4098
particle=  3 | newX=  116.0532 | newY=  918.2661
particle=  4 | newX=  120.9204 | newY=  918.1230
particle=  5 | newX=  125.7863 | newY=  917.9808
particle=  6 | newX=  130.6509 | newY=  917.8393
particle=  7 | newX=  135.5141 | newY=  917.6987
particle=  8 | newX=  140.3761 | newY=  917.5588
particle=  9 | newX=  145.2368 | newY=  917.4198
STEP  27 | DAY  560
particle=  0 | newX=  102.3948 | newY=  908.3028
particle=  1 | newX=  107.2605 | newY=  908.1507
particle=  2 | newX=  112.1247 | newY=  907.9993
particle=  3 | newX=  116.9876 | newY=  907.8486
particle=  4 | newX=  121.8490 | newY=  907.6988
particle=  5 | newX=  126.7090 | newY=  907.5497
particle=  6 | newX=  131.5677 | newY=  907.4015
particle=  7 | newX=  136.4250 | newY=  907.2541
particle=  8 | newX=  141.2809 | newY=  907.1076
particle=  9 | newX=  146.1354 | newY=  906.9620
STEP  28 | DAY  580
particle=  0 | newX=  103.3596 | newY=  897.8925
particle=  1 | newX=  108.2197 | newY=  897.7332
particle=  2 | newX=  113.0782 | newY=  897.5748
particle=  3 | newX=  117.9352 | newY=  897.4171
particle=  4 | newX=  122.7908 | newY=  897.2603
particle=  5 | newX=  127.6449 | newY=  897.1043
particle=  6 | newX=  132.4976 | newY=  896.9492
particle=  7 | newX=  137.3488 | newY=  896.7949
particle=  8 | newX=  142.1985 | newY=  896.6416
particle=  9 | newX=  147.0469 | newY=  896.4892
STEP  29 | DAY  600
particle=  0 | newX=  104.3383 | newY=  887.4682
particle=  1 | newX=  109.1925 | newY=  887.3017
particle=  2 | newX=  114.0453 | newY=  887.1360
particle=  3 | newX=  118.8964 | newY=  886.9712
particle=  4 | newX=  123.7461 | newY=  886.8072
particle=  5 | newX=  128.5942 | newY=  886.6442
particle=  6 | newX=  133.4407 | newY=  886.4820
particle=  7 | newX=  138.2858 | newY=  886.3208
particle=  8 | newX=  143.1293 | newY=  886.1605
particle=  9 | newX=  147.9714 | newY=  886.0012
STEP  30 | DAY  620
particle=  0 | newX=  105.3310 | newY=  877.0296
particle=  1 | newX=  110.1795 | newY=  876.8557
particle=  2 | newX=  115.0263 | newY=  876.6827
particle=  3 | newX=  119.8715 | newY=  876.5106
particle=  4 | newX=  124.7152 | newY=  876.3393
particle=  5 | newX=  129.5571 | newY=  876.1690
particle=  6 | newX=  134.3975 | newY=  875.9997
particle=  7 | newX=  139.2363 | newY=  875.8313
particle=  8 | newX=  144.0736 | newY=  875.6640
particle=  9 | newX=  148.9092 | newY=  875.4976
STEP  31 | DAY  640
particle=  0 | newX=  106.3381 | newY=  866.5765
particle=  1 | newX=  111.1807 | newY=  866.3951
particle=  2 | newX=  116.0216 | newY=  866.2146
particle=  3 | newX=  120.8608 | newY=  866.0349
particle=  4 | newX=  125.6983 | newY=  865.8563
particle=  5 | newX=  130.5341 | newY=  865.6786
particle=  6 | newX=  135.3682 | newY=  865.5019
particle=  7 | newX=  140.2007 | newY=  865.3263
particle=  8 | newX=  145.0315 | newY=  865.1517
particle=  9 | newX=  149.8606 | newY=  864.9781
STEP  32 | DAY  660
particle=  0 | newX=  107.3600 | newY=  856.1087
particle=  1 | newX=  112.1967 | newY=  855.9195
particle=  2 | newX=  117.0315 | newY=  855.7313
particle=  3 | newX=  121.8646 | newY=  855.5440
particle=  4 | newX=  126.6959 | newY=  855.3578
particle=  5 | newX=  131.5254 | newY=  855.1726
particle=  6 | newX=  136.3531 | newY=  854.9884
particle=  7 | newX=  141.1792 | newY=  854.8053
particle=  8 | newX=  146.0034 | newY=  854.6233
particle=  9 | newX=  150.8260 | newY=  854.4424
STEP  33 | DAY  680
particle=  0 | newX=  108.3970 | newY=  845.6257
particle=  1 | newX=  113.2276 | newY=  845.4286
particle=  2 | newX=  118.0564 | newY=  845.2325
particle=  3 | newX=  122.8832 | newY=  845.0375
particle=  4 | newX=  127.7082 | newY=  844.8435
particle=  5 | newX=  132.5313 | newY=  844.6505
particle=  6 | newX=  137.3526 | newY=  844.4587
particle=  7 | newX=  142.1720 | newY=  844.2680
particle=  8 | newX=  146.9897 | newY=  844.0784
particle=  9 | newX=  151.8055 | newY=  843.8900
STEP  34 | DAY  700
particle=  0 | newX=  109.4495 | newY=  835.1272
particle=  1 | newX=  114.2739 | newY=  834.9220
particle=  2 | newX=  119.0964 | newY=  834.7179
particle=  3 | newX=  123.9170 | newY=  834.5149
particle=  4 | newX=  128.7355 | newY=  834.3130
particle=  5 | newX=  133.5522 | newY=  834.1121
particle=  6 | newX=  138.3669 | newY=  833.9125
particle=  7 | newX=  143.1797 | newY=  833.7140
particle=  8 | newX=  147.9906 | newY=  833.5167
particle=  9 | newX=  152.7996 | newY=  833.3206
STEP  35 | DAY  720
particle=  0 | newX=  110.5177 | newY=  824.6129
particle=  1 | newX=  115.3360 | newY=  824.3995
particle=  2 | newX=  120.1521 | newY=  824.1872
particle=  3 | newX=  124.9662 | newY=  823.9760
particle=  4 | newX=  129.7783 | newY=  823.7659
particle=  5 | newX=  134.5883 | newY=  823.5571
particle=  6 | newX=  139.3963 | newY=  823.3494
particle=  7 | newX=  144.2024 | newY=  823.1429
particle=  8 | newX=  149.0064 | newY=  822.9378
particle=  9 | newX=  153.8085 | newY=  822.7339
STEP  36 | DAY  740
particle=  0 | newX=  111.6022 | newY=  814.0825
particle=  1 | newX=  116.4140 | newY=  813.8606
particle=  2 | newX=  121.2238 | newY=  813.6399
particle=  3 | newX=  126.0314 | newY=  813.4204
particle=  4 | newX=  130.8368 | newY=  813.2020
particle=  5 | newX=  135.6401 | newY=  812.9849
particle=  6 | newX=  140.4414 | newY=  812.7690
particle=  7 | newX=  145.2405 | newY=  812.5544
particle=  8 | newX=  150.0376 | newY=  812.3412
particle=  9 | newX=  154.8326 | newY=  812.1293
STEP  37 | DAY  760
particle=  0 | newX=  112.7032 | newY=  803.5355
particle=  1 | newX=  117.5086 | newY=  803.3050
particle=  2 | newX=  122.3118 | newY=  803.0757
particle=  3 | newX=  127.1127 | newY=  802.8476
particle=  4 | newX=  131.9115 | newY=  802.6207
particle=  5 | newX=  136.7080 | newY=  802.3952
particle=  6 | newX=  141.5023 | newY=  802.1709
particle=  7 | newX=  146.2944 | newY=  801.9481
particle=  8 | newX=  151.0844 | newY=  801.7265
particle=  9 | newX=  155.8722 | newY=  801.5064
STEP  38 | DAY  780
particle=  0 | newX=  113.8211 | newY=  792.9716
particle=  1 | newX=  118.6200 | newY=  792.7322
particle=  2 | newX=  123.4166 | newY=  792.4941
particle=  3 | newX=  128.2108 | newY=  792.2573
particle=  4 | newX=  133.0026 | newY=  792.0217
particle=  5 | newX=  137.7922 | newY=  791.7876
particle=  6 | newX=  142.5795 | newY=  791.5547
particle=  7 | newX=  147.3644 | newY=  791.3233
particle=  8 | newX=  152.1472 | newY=  791.0934
particle=  9 | newX=  156.9277 | newY=  790.8649
STEP  39 | DAY  800
particle=  0 | newX=  114.9565 | newY=  782.3903
particle=  1 | newX=  119.7487 | newY=  782.1419
particle=  2 | newX=  124.5385 | newY=  781.8948
