Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  7 | newX=  324.7418 | newY=  576.6614
particle=  8 | newX=  329.5824 | newY=  576.6037
particle=  9 | newX=  334.4233 | newY=  576.5485
STEP  14 | DAY  225
particle=  0 | newX=  291.6863 | newY=  568.5556
particle=  1 | newX=  296.5144 | newY=  568.4740
particle=  2 | newX=  301.3419 | newY=  568.3954
particle=  3 | newX=  306.1692 | newY=  568.3197
particle=  4 | newX=  310.9961 | newY=  568.2469
particle=  5 | newX=  315.8229 | newY=  568.1770
particle=  6 | newX=  320.6497 | newY=  568.1100
particle=  7 | newX=  325.4764 | newY=  568.0458
particle=  8 | newX=  330.3033 | newY=  567.9844
particle=  9 | newX=  335.1304 | newY=  567.9259
STEP  15 | DAY  240
particle=  0 | newX=  292.5250 | newY=  559.9470
particle=  1 | newX=  297.3388 | newY=  559.8599
particle=  2 | newX=  302.1521 | newY=  559.7761
particle=  3 | newX=  306.9650 | newY=  559.6954
particle=  4 | newX=  311.7777 | newY=  559.6180
particle=  5 | newX=  316.5902 | newY=  559.5437
particle=  6 | newX=  321.4027 | newY=  559.4726
particle=  7 | newX=  326.2153 | newY=  559.4046
particle=  8 | newX=  331.0279 | newY=  559.3397
particle=  9 | newX=  335.8409 | newY=  559.2779
STEP  16 | DAY  255
particle=  0 | newX=  293.3708 | newY=  551.3115
particle=  1 | newX=  298.1699 | newY=  551.2189
particle=  2 | newX=  302.9684 | newY=  551.1298
particle=  3 | newX=  307.7666 | newY=  551.0443
particle=  4 | newX=  312.5645 | newY=  550.9622
particle=  5 | newX=  317.3623 | newY=  550.8837
particle=  6 | newX=  322.1601 | newY=  550.8086
particle=  7 | newX=  326.9579 | newY=  550.7369
particle=  8 | newX=  331.7560 | newY=  550.6687
particle=  9 | newX=  336.5543 | newY=  550.6038
STEP  17 | DAY  270
