Tracking contamination for  10 particles and  92 time steps. Reverse tracking: Enabled
Well 1 | Center = ( 1000.0000,   150.0000), Radius=   50.0000
Well 2 | Center = (  300.0000,   100.0000), Radius=   50.0000
Initial particle positions: 
particle=  2 | newX=  785.0067 | newY=  826.6680
particle=  3 | newX=  789.7847 | newY=  826.6903
particle=  4 | newX=  794.5625 | newY=  826.7141
particle=  5 | newX=  799.3401 | newY=  826.7396
particle=  6 | newX=  804.1175 | newY=  826.7666
particle=  7 | newX=  808.8947 | newY=  826.7952
particle=  8 | newX=  813.6717 | newY=  826.8255
particle=  9 | newX=  818.4486 | newY=  826.8574
STEP  25 | DAY  520
particle=  0 | newX=  775.2554 | newY=  815.6213
particle=  1 | newX=  780.0235 | newY=  815.6407
particle=  2 | newX=  784.7913 | newY=  815.6618
particle=  3 | newX=  789.5588 | newY=  815.6845
particle=  4 | newX=  794.3261 | newY=  815.7088
particle=  5 | newX=  799.0931 | newY=  815.7347
particle=  6 | newX=  803.8599 | newY=  815.7624
particle=  7 | newX=  808.6265 | newY=  815.7917
particle=  8 | newX=  813.3929 | newY=  815.8228
particle=  9 | newX=  818.1591 | newY=  815.8555
STEP  26 | DAY  540
particle=  0 | newX=  775.0609 | newY=  804.5904
particle=  1 | newX=  779.8184 | newY=  804.6100
particle=  2 | newX=  784.5756 | newY=  804.6313
particle=  3 | newX=  789.3325 | newY=  804.6543
particle=  4 | newX=  794.0892 | newY=  804.6790
particle=  5 | newX=  798.8455 | newY=  804.7054
particle=  6 | newX=  803.6016 | newY=  804.7336
particle=  7 | newX=  808.3575 | newY=  804.7635
particle=  8 | newX=  813.1131 | newY=  804.7952
particle=  9 | newX=  817.8685 | newY=  804.8288
STEP  27 | DAY  560
particle=  0 | newX=  774.8666 | newY=  793.5350
particle=  1 | newX=  779.6135 | newY=  793.5547
particle=  2 | newX=  784.3600 | newY=  793.5761
particle=  3 | newX=  789.1062 | newY=  793.5993
particle=  4 | newX=  793.8521 | newY=  793.6243
particle=  5 | newX=  798.5976 | newY=  793.6511
particle=  6 | newX=  803.3429 | newY=  793.6797
particle=  7 | newX=  808.0878 | newY=  793.7101
particle=  8 | newX=  812.8325 | newY=  793.7425
particle=  9 | newX=  817.5769 | newY=  793.7767
STEP  28 | DAY  580
particle=  0 | newX=  774.6729 | newY=  782.4547
particle=  1 | newX=  779.4091 | newY=  782.4744
particle=  2 | newX=  784.1448 | newY=  782.4959
particle=  3 | newX=  788.8801 | newY=  782.5192
particle=  4 | newX=  793.6150 | newY=  782.5443
particle=  5 | newX=  798.3496 | newY=  782.5714
particle=  6 | newX=  803.0839 | newY=  782.6003
particle=  7 | newX=  807.8178 | newY=  782.6312
particle=  8 | newX=  812.5513 | newY=  782.6640
particle=  9 | newX=  817.2846 | newY=  782.6988
STEP  29 | DAY  600
particle=  0 | newX=  774.4801 | newY=  771.3492
particle=  1 | newX=  779.2053 | newY=  771.3687
particle=  2 | newX=  783.9301 | newY=  771.3901
particle=  3 | newX=  788.6544 | newY=  771.4134
particle=  4 | newX=  793.3783 | newY=  771.4386
particle=  5 | newX=  798.1018 | newY=  771.4658
particle=  6 | newX=  802.8249 | newY=  771.4949
